id_arrecadacao;id_uf;co_periodo;ANO2;MES;va_icms_primario;va_icms_secundario;va_icms_terciario;va_icms_terciario_atacadista;va_icms_terciario_varejista;va_icms_terciario_transportes;va_icms_terciario_comunicacao;va_icms_terciario_outros;va_icms_energia;va_icms_energia_secundario;va_icms_energia_terciario;va_icms_combustiveis;va_icms_combustiveis_secundario;va_icms_combustiveis_terciario;va_icms_divida_ativa;va_icms_outras;va_icms_total;va_outros_tributos_ipva;va_outros_tributos_itcd;va_outros_tributos_taxas;va_outros_tributos_outros;va_outros_tributos_total;va_receita_tributaria_total
4184;BA;201002;2010;2;7694954;223020867;337934856;105465845;103685408;12012595;98780170;17990838;96606732;93197189;3409543;193254899;177735660;15519239;1446998;20357255;880316561;46528554;1331216;20566487;149879635;218305892;1098622453
4453;MG;201002;2010;2;8911107;599726002;629735101;201674886;161261933;38676045;207873641;20248596;227352202;28505538;198846664;370036372;327110459;42925913;12050508;54373954;1902185246;353733595;12274525;80897180;0;446905300;2349090546
4722;ES;201002;2010;2;793020;199221628;210685135;123135262;38369739;9265174;39914960;0;57348467;8602270;48746197;82702904;0;82702904;3600072;4875979;559227205;8583672;1338713;14782321;0;24704706;583931911
4989;RJ;201002;2010;2;55753934;343254163;841447880;268402884;210408747;22355739;260725083;79555427;281308382;13470689;267837693;159485701;135607322;23878379;5137214;21474717;1707861991;302329283;16990802;1257043;187430630;508007758;2215869749
5258;SP;201002;2010;2;7321086;2650653564;2829813857;1065424583;647049068;138507099;846652253;132180854;496993092;961093;496031999;818500935;668008437;150492498;13248877;278087351;7094618762;1533857239;54670788;235836835;16825515;1841190377;8935809139
5527;PR;201002;2010;2;13153187;171622701;409133307;177274220;61797639;18102932;149851407;2107109;165246227;165246227;0;250123769;213265892;36857877;1925151;34109706;1045314048;305294917;6429669;2634181;55343525;369702292;1415016340
5796;SC;201002;2010;2;2182104;167213621;339100803;93603639;134764963;14409705;76927461;19395035;83754554;0;83754554;147335256;0;147335256;2007970;0;741594308;56460154;3568117;21722586;5;81750862;823345170
6065;RS;201002;2010;2;7162748;406983154;382211890;159347958;128141381;10583384;84139167;0;87893148;5478628;82414520;203295914;175833241;27462673;15306934;41993836;1144847624;66121646;4479558;11092335;0;81693539;1226541163
6333;MS;201002;2010;2;50136524;17236606;136511668;53375229;50054318;2937359;28703718;1441044;18320539;182651;18137888;129373514;4496941;124876573;284258;4617683;356480792;22239277;3370742;596656;1117858;27324533;383805325
6601;MT;201002;2010;2;38373782;15525759;186400486;23061507;57509506;12443905;26798636;66586932;14996504;4498951;10497553;83248578;3746186;79502392;9053483;49796668;397395260;25962750;1062681;1860690;64528226;93414347;490809607
6869;GO;201002;2010;2;15714042;121907962;268597808;112253356;87718210;9586161;55848154;3191927;2659519;2050262;609257;134394833;27399043;106995790;14369466;16553974;574197604;23830989;3645672;2631088;292124106;322231855;896429459
7138;DF;201002;2010;2;287267;69428079;186460323;58085350;57607694;2884587;63084119;4798573;26899736;26899736;0;72023079;2888011;69135068;1659082;785266;357522832;12541950;1935878;2228483;217481;16923792;374446624
159;RO;201003;2010;3;6738519;6582176;82424457;24417666;20477609;3204450;13452041;20872691;6594082;0;6594082;26812316;9004534;17807782;3068566;2963258;135183374;11660043;378297;2355304;32186841;46580485;181763859
428;AC;201003;2010;3;453287;872486;36506363;3122895;6671367;1145971;4817415;20748715;4068134;4068134;0;487060;475;486585;533970;0;42921300;3343373;60543;369151;0;3773067;46694367
696;AM;201003;2010;3;4212819;117331205;177978906;49615169;35475754;9625698;27877356;55384929;9358593;0;0;58978768;0;0;408799;0;368269090;16390368;269340;197052;24905003;41761763;410030853
965;RR;201003;2010;3;15896;2419913;12973725;3952522;5848416;89034;3262173;-178420;2399639;2399639;0;10337490;8847013;1490477;0;2996614;31143277;2255701;32414;83545;4794372;7166032;38309309
1234;PA;201003;2010;3;2701942;94752492;151797082;29190987;42977351;8781135;46880909;23966700;37801858;3278394;34523464;89704864;0;89704864;2433555;1576633;380768426;22956421;631317;9413628;29758659;62760025;443528451
1501;AP;201003;2010;3;24631307;3789566;17129019;3686058;3453717;3561174;4320046;2108024;194445;0;194445;13267439;0;13267439;337443;4275502;63624721;9321626;21791;2270259;351693;11965369;75590090
1769;TO;201003;2010;3;1604565;14395811;30958773;8125010;12019960;389640;8372621;2051542;8317863;8317863;0;24688336;24688336;0;717097;0;80682445;5651592;391864;1945781;1158090;9147327;89829772
2038;MA;201003;2010;3;733995;34416095;93060663;29699826;26437273;9038163;25581069;2304332;16376800;2770847;13605953;64669919;1728802;62941117;28588;6666655;215952715;46325269;389763;8672325;3026663;58414020;274366735
2306;PI;201003;2010;3;10921169;23234681;53508057;15492229;20486946;1472923;14958666;1097293;15192109;15583;15176526;35950595;0;35950595;172577;71672;139050860;9540704;378322;923791;27887;10870704;149921564
2575;CE;201003;2010;3;409582;85302794;201801915;82083780;62270749;5948366;51382437;116583;51541861;51541861;0;90251706;87069621;3182085;4239773;20194936;453742567;54970671;2008838;764136;1220;57744865;511487432
2844;RN;201003;2010;3;30654843;47904124;102941395;31716425;37839754;1578255;23498737;8308224;16173354;0;16173354;8836922;0;8836922;0;0;206510638;17830518;873755;0;0;18704273;225214911
3113;PB;201003;2010;3;489807;34370314;96120088;36343109;31301038;3410801;23348460;1716680;21603134;2218522;19384612;36488904;4648672;31840232;168676;0;189240923;17538488;666676;717497;8429260;27351921;216592844
3380;PE;201003;2010;3;448357;100407681;329808908;118157726;116632922;8864795;71185041;14968424;66779711;560868;66218843;96947245;350196;96597049;3381301;8921544;606694747;172842308;2325173;1148136;14654341;190969958;797664705
3648;AL;201003;2010;3;83095;35528358;92329869;33212530;31144508;1657148;24414948;1900735;13947347;0;0;18018804;0;0;593116;3059090;163559679;10771346;584189;95436;6201697;17652668;181212347
3917;SE;201003;2010;3;3494814;24101558;60035290;17144744;23984755;2014530;12193599;4697662;11596835;11596835;0;21652354;20360381;1291973;479299;1066658;122426808;7412001;604832;34541;5046660;13098034;135524842
4185;BA;201003;2010;3;7996636;216344598;348843829;113227186;108665817;11874553;94615522;20460751;75592257;72583367;3008890;191402655;179089231;12313424;1742977;22791107;864714059;45741200;2263263;15570953;148207169;211782585;1076496644
4454;MG;201003;2010;3;6556360;626942788;653021672;225336433;166266213;40357846;199449064;21612116;212678543;29945881;182732662;360087293;326537201;33550092;21906187;76032371;1957225214;395610943;23783844;140348427;0;559743214;2516968428
4723;ES;201003;2010;3;552093;229342124;177574680;96767130;33719549;9162778;37925223;0;56080515;8412077;47668438;93414486;0;93414486;3727968;5673617;566365483;23059761;1580967;19521284;0;44162012;610527495
4990;RJ;201003;2010;3;22226651;352765009;894089084;281479593;207997091;21798618;293293600;89520182;279689001;18970819;260718182;188452915;160536834;27916081;8101180;31639235;1776963075;233524616;26648007;1885252;200119222;462177097;2239140172
5259;SP;201003;2010;3;13367934;2786457229;2919701210;1208417791;598918826;143011950;849299016;120053627;461117921;969632;460148289;816407223;633266361;183140862;20455877;336040087;7353547481;1420542024;69612468;315635813;30363218;1836153523;9189701004
5528;PR;201003;2010;3;18537938;209616486;414352667;190968646;54322686;17645844;148497796;2917695;172121637;172121637;0;305322330;275784666;29537664;4575517;37067891;1161594466;196051912;9421678;3777421;65483692;274734703;1436329169
5797;SC;201003;2010;3;3365116;192398893;333745719;96539942;122725049;15301825;78466395;20712508;90553447;0;90553447;149042728;0;149042728;2116697;0;771222600;91051925;6209213;31803826;0;129064964;900287564
6066;RS;201003;2010;3;10824728;430166521;516914578;163765903;150052313;10660740;192435622;0;195452206;6740784;188711422;197285309;168012994;29272315;16747946;54209248;1421600536;102216707;10519794;17008297;463;129745261;1551345797
6334;MS;201003;2010;3;57203775;20267581;140327299;57383543;50043335;2896954;28099777;1903690;18546419;24296;18522123;125148583;4523672;120624911;315277;5398641;367207575;25812120;4752123;794485;1319594;32678322;399885897
6602;MT;201003;2010;3;33850093;16319669;174612083;18667220;43513641;14491390;26442010;71497822;34658707;10397612;24261095;86564859;3895419;82669440;7128477;83678025;436811913;35780249;1624332;2378024;68895121;108677726;545489639
6870;GO;201003;2010;3;15484532;139965897;325914495;154014508;90340952;11376021;67290961;2892053;2119877;1572175;547702;132340170;31126890;101213280;34961011;21546710;672332690;45979169;5909935;3383193;271473601;326745899;999078589
7139;DF;201003;2010;3;219282;55009366;184390822;59533851;51323998;2477972;65409676;5645325;26063515;26063515;0;70893949;4154556;66739393;1890003;757422;339124359;54104301;2906775;23079;203076;57237231;396361590
